Symbol,Signal_Date,Close_at_Signal,Latest_Close,P/L_%,Status,Standard_Signals,Strict_Signals,Latest_RSI,NV_Range,Recommended_NV_Threshold,Recommended_NV_Improvement,Recommended_Drawdown,Recommended_EMA50_Min,Recommended_EMA50_Max,Recommended_Volume_Ratio
ADBL,2026-02-11,295.0,295.0,0.0,STANDARD_ONLY,520,0,29.2,58.2 – 202.6,208.0,-5.0,-8.0,-34.0,20.0,3.07
PCBL,2026-02-11,234.0,234.0,0.0,STANDARD_ONLY,507,0,21.1,41.4 – 226.7,232.0,-5.0,-8.0,-33.0,21.0,6.65
GUFL,2026-02-11,553.0,553.0,0.0,STANDARD_ONLY,269,0,27.1,69.4 – 257.6,263.0,-5.0,-8.0,-34.0,29.0,7.1
SHINE,2026-02-11,398.7,398.7,0.0,STANDARD_ONLY,322,0,38.4,57.9 – 420.4,425.0,-5.0,-9.0,-36.0,15.0,6.17
GFCL,2026-02-11,635.0,635.0,0.0,STANDARD_ONLY,323,0,24.3,29.2 – 353.2,358.0,-5.0,-8.0,-37.0,30.0,7.38
EDBL,2026-02-11,579.0,579.0,0.0,STANDARD_ONLY,400,0,8.9,47.9 – 283.6,289.0,-5.0,-8.0,-75.0,20.0,8.15
ICFC,2026-02-11,649.0,649.0,0.0,STANDARD_ONLY,398,0,25.0,65.8 – 231.5,237.0,-5.0,-9.0,-31.0,21.0,5.94
KPCL,2026-02-11,525.0,525.0,0.0,STANDARD_ONLY,183,0,33.0,54.8 – 316.6,322.0,-5.0,-8.0,-29.0,21.0,6.98
CHDC,2026-02-11,2310.0,2310.0,0.0,STANDARD_ONLY,154,0,36.8,60.7 – 312.6,318.0,-5.0,-8.0,-26.0,26.0,3.88
GMFIL,2026-02-11,461.9,461.9,0.0,STANDARD_ONLY,303,0,34.9,68.0 – 570.8,576.0,-5.0,-9.0,-30.0,19.0,8.47
LBBL,2026-02-11,471.0,471.0,0.0,STANDARD_ONLY,247,0,36.9,78.2 – 271.6,277.0,-5.0,-9.0,-33.0,20.0,3.41
KSBBL,2026-02-11,451.0,451.0,0.0,STANDARD_ONLY,264,0,32.0,72.1 – 193.1,198.0,-5.0,-8.0,-29.0,18.0,4.42
SPC,2026-02-11,508.0,508.0,0.0,STANDARD_ONLY,146,0,27.0,87.2 – 255.0,260.0,-5.0,-17.0,-27.0,11.0,7.86
BPCL,2026-02-11,721.9,721.9,0.0,STANDARD_ONLY,514,0,24.0,30.4 – 390.9,396.0,-5.0,-8.0,-46.0,24.0,8.59
BFC,2026-02-11,467.9,467.9,0.0,STANDARD_ONLY,236,0,32.5,38.4 – 223.0,228.0,-5.0,-9.0,-55.0,17.0,5.66
MLBL,2026-02-11,368.8,368.8,0.0,STANDARD_ONLY,272,0,37.3,28.9 – 233.9,239.0,-5.0,-9.0,-31.0,19.0,5.2
MNBBL,2026-02-11,361.3,361.3,0.0,STANDARD_ONLY,445,0,24.4,12.8 – 1190.9,1196.0,-5.0,-8.0,-38.0,16.0,3.37
NICA,2026-02-11,320.9,320.9,0.0,STANDARD_ONLY,458,0,33.0,58.7 – 278.8,284.0,-5.0,-8.0,-32.0,14.0,6.06
NMB,2026-02-10,234.0,233.3,-0.3,STANDARD_ONLY,481,0,33.5,28.0 – 261.0,266.0,-5.0,-9.0,-34.0,23.0,3.93
MEN,2026-02-10,582.0,577.6,-0.76,STANDARD_ONLY,169,0,32.6,8.3 – 242.7,248.0,-5.0,-8.0,-42.0,12.0,4.19
JFL,2026-02-10,428.0,428.4,0.09,STANDARD_ONLY,361,0,29.1,17.5 – 163.7,169.0,-5.0,-10.0,-47.0,15.0,5.79
JBBL,2026-02-10,330.0,330.0,0.0,STANDARD_ONLY,413,0,18.7,48.5 – 221.4,226.0,-5.0,-9.0,-27.0,33.0,4.81
MFIL,2026-02-10,780.0,791.0,1.41,STANDARD_ONLY,278,0,37.7,0.6 – 214.9,220.0,-5.0,-8.0,-61.0,29.0,8.05
SADBL,2026-02-10,405.1,413.0,1.95,STANDARD_ONLY,348,0,45.4,37.2 – 197.9,203.0,-5.0,-8.0,-43.0,21.0,5.29
SANIMA,2026-02-10,324.2,326.0,0.56,STANDARD_ONLY,431,0,29.3,56.0 – 210.4,215.0,-5.0,-8.0,-26.0,18.0,3.47
HBL,2026-02-10,188.5,189.9,0.74,STANDARD_ONLY,460,0,40.7,32.6 – 241.6,247.0,-5.0,-9.0,-41.0,20.0,6.12
NHDL,2026-02-10,655.0,645.3,-1.48,STANDARD_ONLY,250,0,19.7,65.4 – 328.6,334.0,-5.0,-9.0,-32.0,19.0,6.05
SBL,2026-02-10,374.0,373.0,-0.27,STANDARD_ONLY,547,0,31.3,48.9 – 236.9,242.0,-5.0,-8.0,-41.0,28.0,4.8
SBI,2026-02-10,400.0,396.0,-1.0,STANDARD_ONLY,526,0,35.3,31.7 – 645.3,650.0,-5.0,-8.0,-32.0,16.0,6.41
CGH,2026-02-10,844.0,838.0,-0.71,STANDARD_ONLY,213,0,37.1,42.7 – 232.8,238.0,-5.0,-12.0,-22.0,31.0,2.33
GBIME,2026-02-10,224.5,226.0,0.67,STANDARD_ONLY,392,0,44.5,58.9 – 183.2,188.0,-5.0,-8.0,-30.0,17.0,4.91
ALICL,2026-02-10,468.0,461.0,-1.5,STANDARD_ONLY,522,0,26.6,6.5 – 470.7,476.0,-5.0,-8.0,-41.0,21.0,5.65
SHPC,2026-02-10,522.8,545.0,4.25,STANDARD_ONLY,421,0,44.3,26.7 – 714.4,719.0,-5.0,-8.0,-49.0,14.0,8.32
CZBIL,2026-02-10,191.8,191.0,-0.42,STANDARD_ONLY,644,0,36.2,6.1 – 320.6,326.0,-5.0,-8.0,-44.0,24.0,3.35
TRH,2026-02-10,742.0,751.0,1.21,STANDARD_ONLY,304,0,46.7,56.7 – 477.5,482.0,-5.0,-8.0,-37.0,16.0,18.48
GBBL,2026-02-09,395.1,396.9,0.46,STANDARD_ONLY,390,0,41.4,54.3 – 298.9,304.0,-5.0,-8.0,-27.0,19.0,4.25
SHL,2026-02-09,497.0,497.0,0.0,STANDARD_ONLY,357,0,45.2,53.0 – 380.9,386.0,-5.0,-9.0,-29.0,17.0,7.5
LICN,2026-02-09,840.0,832.8,-0.86,STANDARD_ONLY,470,0,30.0,36.5 – 243.3,248.0,-5.0,-8.0,-44.0,19.0,5.8
RURU,2026-01-28,676.0,665.0,-1.63,STANDARD_ONLY,151,0,42.2,47.8 – 323.4,328.0,-5.0,-11.0,-26.0,8.0,10.75
CHCL,2026-01-25,486.0,469.9,-3.31,STANDARD_ONLY,693,0,46.9,10.3 – 353.4,358.0,-5.0,-8.0,-35.0,17.0,5.41
SPDL,2026-01-21,392.0,400.0,2.04,STANDARD_ONLY,296,0,55.0,69.8 – 292.0,297.0,-5.0,-9.0,-32.0,14.0,5.57
NABIL,2026-01-14,487.5,496.0,1.74,STANDARD_ONLY,595,0,55.5,7.5 – 213.6,219.0,-5.0,-8.0,-32.0,12.0,8.61
AHPC,2026-01-13,257.0,298.0,15.95,STANDARD_ONLY,570,0,70.7,15.7 – 283.3,288.0,-5.0,-11.0,-36.0,18.0,5.92
UNHPL,2026-01-13,460.0,509.0,10.65,STANDARD_ONLY,191,0,63.1,75.4 – 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
SFCL,2026-01-13,370.0,381.0,2.97,STANDARD_ONLY,238,0,40.2,7.8 – 305.6,311.0,-5.0,-10.0,-34.0,17.0,4.06
NLIC,2026-01-12,779.0,751.0,-3.59,STANDARD_ONLY,556,0,24.7,40.5 – 306.9,312.0,-5.0,-8.0,-50.0,14.0,7.02
SINDU,2026-01-12,722.9,757.0,4.72,STANDARD_ONLY,255,0,52.0,50.0 – 228.3,233.0,-5.0,-8.0,-48.0,22.0,4.91
PFL,2026-01-12,357.9,375.0,4.78,STANDARD_ONLY,339,0,41.4,54.7 – 165.8,171.0,-5.0,-8.0,-41.0,30.0,4.78
CORBL,2026-01-12,1563.0,1643.0,5.12,STANDARD_ONLY,217,0,45.7,71.5 – 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
MHNL,2026-01-08,244.0,290.0,18.85,STANDARD_ONLY,213,0,60.1,72.2 – 468.9,474.0,-5.0,-9.0,-33.0,14.0,14.78
JOSHI,2026-01-08,282.7,309.0,9.3,STANDARD_ONLY,223,0,55.2,46.3 – 180.6,186.0,-5.0,-14.0,-33.0,17.0,6.91
NLICL,2026-01-08,584.9,579.0,-1.01,STANDARD_ONLY,560,0,37.4,50.7 – 346.8,352.0,-5.0,-8.0,-40.0,24.0,7.09
KKHC,2026-01-07,215.9,299.0,38.49,STANDARD_ONLY,302,0,77.1,58.1 – 277.0,282.0,-5.0,-10.0,-28.0,32.0,5.96
KBL,2026-01-07,179.1,185.0,3.29,STANDARD_ONLY,504,0,50.4,38.2 – 297.9,303.0,-5.0,-8.0,-40.0,13.0,4.73
UPCL,2026-01-07,359.0,379.5,5.71,STANDARD_ONLY,214,0,51.7,56.3 – 270.7,276.0,-5.0,-13.0,-30.0,14.0,5.15
SSHL,2026-01-06,155.9,197.5,26.68,STANDARD_ONLY,174,0,61.5,40.3 – 264.9,270.0,-5.0,-8.0,-30.0,17.0,3.59
SHEL,2026-01-05,273.0,328.0,20.15,STANDARD_ONLY,179,0,74.9,62.7 – 251.3,256.0,-5.0,-9.0,-33.0,22.0,6.14
RLFL,2026-01-04,413.3,447.0,8.15,STANDARD_ONLY,324,0,48.1,47.7 – 173.2,178.0,-5.0,-9.0,-35.0,19.0,5.78
SJCL,2026-01-04,284.0,301.5,6.16,STANDARD_ONLY,222,0,56.1,58.8 – 177.9,183.0,-5.0,-11.0,-26.0,15.0,2.41
PMHPL,2026-01-01,315.0,347.0,10.16,STANDARD_ONLY,211,0,57.2,86.2 – 196.3,201.0,-5.0,-8.0,-29.0,21.0,4.12
UMRH,2026-01-01,545.0,556.0,2.02,STANDARD_ONLY,175,0,40.9,59.8 – 272.3,277.0,-5.0,-10.0,-30.0,22.0,6.43
MKJC,2026-01-01,510.4,530.2,3.88,STANDARD_ONLY,142,0,57.0,60.9 – 228.1,233.0,-5.0,-9.0,-25.0,11.0,2.57
NFS,2026-01-01,618.0,635.0,2.75,STANDARD_ONLY,211,0,32.1,73.4 – 237.0,242.0,-5.0,-11.0,-51.0,20.0,6.94
RHPL,2025-12-31,272.0,280.5,3.12,STANDARD_ONLY,233,0,49.5,83.6 – 174.1,179.0,-5.0,-11.0,-28.0,18.0,3.35
NGPL,2025-12-31,398.9,420.3,5.36,STANDARD_ONLY,299,0,59.6,61.9 – 252.6,258.0,-5.0,-10.0,-52.0,24.0,8.52
UPPER,2025-12-31,173.6,190.0,9.45,STANDARD_ONLY,302,0,55.5,63.5 – 180.5,186.0,-5.0,-10.0,-47.0,18.0,3.06
GLH,2025-12-31,247.2,280.5,13.47,STANDARD_ONLY,186,0,64.1,81.3 – 477.3,482.0,-5.0,-13.0,-24.0,14.0,7.32
NYADI,2025-12-28,377.0,399.0,5.84,STANDARD_ONLY,147,0,48.4,89.4 – 276.2,281.0,-5.0,-10.0,-27.0,15.0,3.61
CFCL,2025-12-28,475.0,527.9,11.14,STANDARD_ONLY,328,0,33.0,60.1 – 177.1,182.0,-5.0,-8.0,-46.0,30.0,9.79
PRVU,2025-12-24,182.0,183.0,0.55,STANDARD_ONLY,385,0,41.9,57.6 – 175.6,181.0,-5.0,-8.0,-31.0,19.0,4.17
HDHPC,2025-12-24,173.6,211.5,21.83,STANDARD_ONLY,186,0,61.8,56.5 – 475.6,481.0,-5.0,-11.0,-30.0,18.0,7.69
GRDBL,2025-12-24,1100.0,1068.0,-2.91,STANDARD_ONLY,238,0,42.9,39.6 – 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
HURJA,2025-12-24,219.7,281.3,28.04,STANDARD_ONLY,203,0,73.4,53.7 – 186.1,191.0,-5.0,-13.0,-37.0,24.0,5.13
DHPL,2025-12-24,288.0,306.0,6.25,STANDARD_ONLY,277,0,50.4,56.6 – 2696.8,2702.0,-5.0,-9.0,-26.0,31.0,11.22
CHL,2025-12-24,254.0,295.0,16.14,STANDARD_ONLY,259,0,60.3,52.5 – 253.0,258.0,-5.0,-9.0,-39.0,25.0,7.85
NBL,2025-12-24,237.0,243.0,2.53,STANDARD_ONLY,442,0,42.7,19.6 – 876.0,881.0,-5.0,-9.0,-80.0,12.0,15.99
NRN,2025-12-23,1350.0,1584.0,17.33,STANDARD_ONLY,180,0,54.0,9.6 – 258.2,263.0,-5.0,-9.0,-31.0,18.0,4.35
BARUN,2025-12-23,314.0,368.0,17.2,STANDARD_ONLY,365,0,60.7,35.7 – 438.3,443.0,-5.0,-9.0,-43.0,24.0,13.18
MBL,2025-12-23,214.5,227.1,5.87,STANDARD_ONLY,455,0,46.9,59.4 – 1320.9,1326.0,-5.0,-9.0,-36.0,15.0,13.33
NIFRA,2025-12-23,262.0,260.0,-0.76,STANDARD_ONLY,202,0,41.3,62.4 – 173.8,179.0,-5.0,-12.0,-27.0,15.0,2.31
PROFL,2025-12-23,443.0,459.3,3.68,STANDARD_ONLY,261,0,33.6,73.2 – 541.7,547.0,-5.0,-10.0,-37.0,19.0,15.52
SAHAS,2025-12-23,541.5,555.9,2.66,STANDARD_ONLY,153,0,43.2,46.7 – 1001.3,1006.0,-5.0,-9.0,-27.0,8.0,10.52
AKJCL,2025-12-23,183.0,385.0,110.38,STANDARD_ONLY,214,0,90.2,52.5 – 680.8,686.0,-5.0,-11.0,-32.0,26.0,10.05
GHL,2025-12-22,207.9,260.0,25.06,STANDARD_ONLY,221,0,64.1,64.1 – 180.1,185.0,-5.0,-12.0,-36.0,20.0,2.3
OHL,2025-12-22,698.9,709.0,1.45,STANDARD_ONLY,356,0,40.4,51.9 – 186.6,192.0,-5.0,-8.0,-43.0,16.0,6.67
SCB,2025-12-22,623.2,640.0,2.7,STANDARD_ONLY,532,0,61.2,30.3 – 271.6,277.0,-5.0,-8.0,-58.0,17.0,5.48
NHPC,2025-12-22,183.9,229.0,24.52,STANDARD_ONLY,445,0,60.2,63.9 – 389.6,395.0,-5.0,-9.0,-30.0,28.0,13.19
HPPL,2025-12-21,465.4,469.0,0.77,STANDARD_ONLY,294,0,45.5,55.4 – 321.5,326.0,-5.0,-10.0,-32.0,18.0,8.66
AKPL,2025-12-21,241.0,283.2,17.51,STANDARD_ONLY,338,0,71.8,18.2 – 307.1,312.0,-5.0,-8.0,-41.0,15.0,4.07
LEC,2025-12-18,195.0,237.0,21.54,STANDARD_ONLY,167,0,59.5,30.3 – 158.1,163.0,-5.0,-16.0,-40.0,17.0,3.68
SAPDBL,2025-12-17,813.9,813.5,-0.05,STANDARD_ONLY,160,0,48.8,21.8 – 181.5,186.0,-5.0,-10.0,-31.0,20.0,2.78
MDB,2025-12-16,570.0,630.0,10.53,STANDARD_ONLY,376,0,45.5,48.2 – 315.6,321.0,-5.0,-8.0,-47.0,16.0,8.19
RADHI,2025-12-15,721.0,848.0,17.61,STANDARD_ONLY,241,0,62.3,60.4 – 351.1,356.0,-5.0,-8.0,-53.0,13.0,4.42
API,2025-11-23,282.5,303.0,7.26,STANDARD_ONLY,413,0,55.3,17.3 – 218.2,223.0,-5.0,-10.0,-40.0,21.0,7.48
SIFC,2025-11-20,485.2,575.0,18.51,STANDARD_ONLY,253,0,44.1,70.9 – 302.6,308.0,-5.0,-8.0,-48.0,14.0,12.66
EBL,2025-11-09,628.5,666.1,5.98,STANDARD_ONLY,458,0,43.8,30.5 – 496.8,502.0,-5.0,-8.0,-52.0,11.0,5.3
TPC,2025-10-30,304.0,407.4,34.01,STANDARD_ONLY,142,0,69.3,26.2 – 239.7,245.0,-5.0,-9.0,-39.0,22.0,7.31
MPFL,2025-10-30,518.2,625.0,20.61,STANDARD_ONLY,258,0,34.3,22.1 – 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
PPCL,2025-10-28,301.0,377.0,25.25,STANDARD_ONLY,194,0,55.2,58.2 – 172.5,178.0,-5.0,-8.0,-28.0,19.0,3.71
UMHL,2025-10-28,528.8,615.6,16.41,STANDARD_ONLY,280,0,45.9,66.6 – 215.6,221.0,-5.0,-9.0,-29.0,14.0,3.95
NABBC,2025-09-23,812.7,1579.0,94.29,STANDARD_ONLY,150,0,52.7,60.8 – 177.5,182.0,-5.0,-11.0,-55.0,16.0,2.75
KRBL,2024-10-01,594.9,810.0,36.16,STANDARD_ONLY,340,0,46.4,52.3 – 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
LBL,2023-07-11,169.7,173.0,1.94,STANDARD_ONLY,415,0,50.4,5.2 – 404.0,409.0,-5.0,-8.0,-35.0,21.0,6.42
SRBL,2023-07-09,170.0,173.1,1.82,STANDARD_ONLY,418,0,51.6,45.8 – 193.2,198.0,-5.0,-9.0,-32.0,16.0,4.51
ULI,2023-05-07,371.0,358.0,-3.5,STANDARD_ONLY,44,0,16.9,48.4 – 133.1,138.0,0.0,-11.0,-30.0,2.0,4.13
GLICL,2023-05-04,360.0,344.0,-4.44,STANDARD_ONLY,385,0,30.2,13.4 – 236.7,242.0,-5.0,-8.0,-43.0,23.0,6.34
PLIC,2023-05-04,359.3,340.0,-5.37,STANDARD_ONLY,330,0,16.8,57.7 – 201.7,207.0,-5.0,-8.0,-65.0,14.0,5.05
PLI,2023-05-03,393.0,587.0,49.36,STANDARD_ONLY,88,0,51.8,62.1 – 162.7,168.0,-5.0,-13.0,-25.0,6.0,2.29
SLI,2023-03-16,402.0,396.8,-1.29,STANDARD_ONLY,43,0,40.1,91.1 – 122.4,127.0,-5.0,-21.0,-26.0,8.0,1.54
RLI,2023-03-07,393.0,387.0,-1.53,STANDARD_ONLY,85,0,38.2,74.9 – 158.3,163.0,-5.0,-11.0,-26.0,10.0,1.96
CBL,2023-02-22,216.9,214.0,-1.34,STANDARD_ONLY,269,0,41.7,47.3 – 188.2,193.0,-5.0,-8.0,-22.0,9.0,3.89
CCBL,2022-12-26,180.5,199.5,10.53,STANDARD_ONLY,287,0,84.0,8.6 – 178.8,184.0,-5.0,-8.0,-26.0,10.0,3.77
NIB,2022-12-26,230.5,251.0,8.89,STANDARD_ONLY,385,0,76.1,9.4 – 253.1,258.0,-5.0,-9.0,-39.0,17.0,5.06
BOKL,2022-12-26,205.0,207.3,1.12,STANDARD_ONLY,246,0,62.9,9.6 – 349.1,354.0,-5.0,-9.0,-33.0,9.0,2.87
MEGA,2022-12-26,196.5,219.0,11.45,STANDARD_ONLY,200,0,86.0,44.7 – 278.0,283.0,-5.0,-8.0,-62.0,10.0,4.35
NCCB,2022-12-18,179.0,189.0,5.59,STANDARD_ONLY,326,0,61.4,47.6 – 1433.7,1439.0,-5.0,-8.0,-32.0,17.0,11.92
SLICL,2022-06-26,387.0,387.0,0.0,STANDARD_ONLY,329,0,31.7,28.2 – 257.4,262.0,-5.0,-8.0,-40.0,26.0,13.28
JLI,2022-06-26,359.0,351.9,-1.98,STANDARD_ONLY,69,0,25.1,66.8 – 174.4,179.0,-5.0,-21.0,-29.0,4.0,2.54
NBB,2021-12-14,326.0,400.0,22.7,STANDARD_ONLY,323,0,61.3,10.7 – 275.4,280.0,-5.0,-8.0,-35.0,14.0,5.24
RRHP,2021-10-25,515.0,563.9,9.5,STANDARD_ONLY,54,0,50.6,69.9 – 280.9,286.0,-5.0,-10.0,-24.0,12.0,2.85
RHPC,2021-10-24,680.9,840.0,23.37,STANDARD_ONLY,215,0,75.0,41.9 – 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
SHBL,2017-06-06,506.0,490.0,-3.16,STANDARD_ONLY,29,0,30.4,77.8 – 202.1,207.0,-5.0,-10.0,-65.0,21.0,3.59
